Sex	Spec	SL	HL
M	1	66.32	19.515
M	2	58.905	18.405
M	3	65.98	19.965
M	4	62.645	19.195
M	5	59.3	18.535
M	6	61.205	18.7
M	7	66.46	20.775
M	8	62.52	19.38
M	9	65.495	20.2
M	10	64.13	19.55
M	11	61.695	18.115
M	12	63.565	19.755
M	13	58.57	17.7
M	14	65.78	19.115
M	15	62.12	19.25
M	16	61.49	19.105
M	17	63.9	19.29
M	18	63.225	19.48
M	19	60.86	19.145
M	20	65.375	19.76
M	21	61.98	19.545
M	22	64.025	18.67
M	23	63.73	19.22
M	24	61.02	18.645
M	25	61.05	18.815
M	26	66.34	20.52
M	27	64.21	19.75
M	28	62.08	19.28
M	29	62.09	19.04
M	30	67.045	20.285
M	31	62.735	19.29
M	32	64.01	19.29
M	33	63.885	18.98
M	34	63.905	18.78
M	35	64.155	19.525
M	36	63.795	19.415
M	37	64.26	19.495
M	38	62.425	19.275
M	39	61.11	19.34
M	40	65.35	18.36
M	41	64.035	19.18
M	42	63.16	18.51
M	43	61.76	18.2
M	44	65.735	20.005
M	45	61.835	18.235
M	46	63.49	19.55
M	47	66.375	19.92
M	48	62.285	19.345
M	49	62.27	19.15
M	50	58.53	18.455
